"Italia",60228934,6864
"Abruzzo",1305770,148
"Basilicata",556934,73
"Calabria",1924701,239
"Campania",5785861,505
"Emilia-Romagna",4467118,634
"Friuli Venezia Giulia",1211357,180
"Lazio",5865544,185
"Liguria",1543127,209
"Lombardia",10103969,1036
"Marche",1518400,143
"Molise",302265,34
"P.A. Bolzano",520891,55
"P.A. Trento",538223,51
"Piemonte",4341375,575
"Puglia",4008296,369
"Sardegna",1630474,180
"Sicilia",4968410,588
"Toscana",3722729,523
"Umbria",880285,101
"Valle d'Aosta",125501,20
"Veneto",4907704,1016
